id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,zubr_id,observers,wrong-voters-number,major-violations,minor-violations
05-141-0015,Лесковка,minsk_suburb,54.005215,27.712326,5,,281,168,1173.0,1680.0,5,85.0,1,1,7.0,1,0,,0,0,14.0,0,0,,0,0,20.0,0,1,395.0,0,274,652.0,166,4587,1,False,False,True
05-141-0017,Боровлянский сельский Совет,minsk_suburb,54.004982,27.683553,5,,465,319,1231.0,1830.0,9,82.0,2,1,18.0,0,1,4.0,1,2,18.0,0,0,,0,1,14.0,0,2,235.0,0,449,860.0,316,4589,4,False,False,False
05-141-0018,Боровлянский сельский Совет,minsk_suburb,54.004143,27.683612,5,,363,245,1125.0,1550.0,6,68.0,3,2,16.0,2,0,,0,3,10.0,1,0,,0,1,15.0,1,1,356.0,1,350,660.0,237,4590,5,False,False,False
05-141-0019,Lyasny,minsk_suburb,54.000035,27.686318,5,,488,317,1409.0,2125.0,8,100.0,2,2,21.0,1,0,22.0,0,3,21.0,1,0,,0,0,18.0,0,3,242.0,0,472,985.0,313,4591,5,False,False,False
05-141-0025,Minsk,minsk_suburb,53.955193,27.674354,5,,812,571,1737.0,2375.0,12,107.0,5,3,22.0,2,0,14.0,0,3,27.0,0,2,,0,1,14.0,0,6,279.0,1,785,1274.0,563,4597,12,False,False,True
05-141-0040,Tarasava,minsk_suburb,53.924325,27.379455,5,,646,422,1523.0,2411.0,12,62.0,5,1,10.0,1,0,8.0,0,3,12.0,2,1,,0,1,12.0,0,1,153.0,1,627,1266.0,413,4612,8,False,False,False
05-141-0041,Zaslawye,town_below100,54.005067,27.290917,5,,182,102,798.0,855.0,3,23.0,0,0,3.0,0,0,3.0,0,0,10.0,0,1,,0,1,10.0,0,5,396.0,0,172,353.0,102,4613,3,False,False,False
05-141-0044,Zaslawye,town_below100,54.01175,27.264399,5,,472,289,1684.0,2421.0,5,108.0,3,2,24.0,2,1,1.0,1,2,17.0,2,0,,0,0,17.0,0,2,742.0,0,460,775.0,281,4616,5,False,False,False
05-141-0045,Zaslawye,town_below100,54.011089,27.262117,5,,503,314,2005.0,2616.0,16,123.0,6,4,24.0,2,0,23.0,0,3,28.0,2,0,,0,0,69.0,0,1,1037.0,0,479,701.0,304,4617,5,False,False,False
05-141-0046,Zaslawye,town_below100,54.012364,27.304122,5,,173,109,910.0,1275.0,1,57.0,1,0,6.0,0,0,,0,0,15.0,0,1,,0,0,11.0,0,0,420.0,0,171,401.0,108,4618,1,False,False,False
05-141-0048,Kalodziščy,minsk_suburb,53.96365,27.758894,5,,309,185,1063.0,1503.0,7,56.0,2,2,19.0,2,1,,1,2,25.0,0,0,,0,1,12.0,0,3,478.0,0,293,473.0,180,4620,1,False,False,False
05-141-0050,Kalodziščy,minsk_suburb,53.957456,27.782574,5,,300,178,1404.0,1855.0,8,106.0,3,2,24.0,2,0,11.0,0,2,24.0,1,1,,0,2,23.0,0,2,497.0,0,283,719.0,172,4622,12,False,False,False
05-141-0051,Колодищанский сельский Совет,minsk_suburb,53.955601,27.780023,5,,459,298,1490.0,2117.0,7,93.0,3,0,30.0,0,0,,0,1,26.0,1,1,,1,0,15.0,0,3,589.0,1,447,737.0,292,4623,7,False,False,False
05-141-0054,Kalodziščy,minsk_suburb,53.94875,27.793812,5,,720,483,1655.0,2312.0,15,78.0,3,2,10.0,0,0,16.0,0,2,24.0,2,2,,0,2,20.0,2,5,277.0,0,692,1230.0,476,4626,5,False,False,False
05-141-0055,Сухорукие,minsk_suburb,53.939714,27.740003,5,,222,145,679.0,1060.0,2,40.0,2,1,7.0,0,1,6.0,0,2,10.0,1,1,,0,1,11.0,0,0,135.0,0,214,470.0,142,4627,5,False,False,False
05-141-0056,Старина,minsk_suburb,53.949808,27.838055,5,,201,125,711.0,1079.0,1,40.0,0,0,8.0,0,0,,0,1,17.0,1,1,,0,1,12.0,0,0,199.0,0,197,433.0,124,4628,4,False,False,False
05-141-0058,Krupica,village,53.677375,27.535295,5,,208,136,1254.0,1511.0,2,78.0,0,1,10.0,0,0,,0,0,11.0,0,1,,0,0,8.0,0,0,599.0,0,204,548.0,136,4630,5,False,False,False
05-141-0061,Луговая Слобода,village,53.782485,27.83694,5,,150,75,1111.0,1483.0,1,30.0,0,0,17.0,0,0,5.0,0,1,11.0,0,0,,0,0,21.0,0,2,552.0,1,146,475.0,74,4633,2,False,False,True
05-141-0070,Michanavičy,village,53.739827,27.694566,5,,343,210,1305.0,1994.0,8,109.0,3,0,16.0,0,2,13.0,0,1,26.0,0,1,,0,1,25.0,0,4,322.0,1,326,794.0,206,4642,3,False,False,False
05-141-0075,Большой Тростенец,minsk_suburb,53.850794,27.714473,5,,287,157,1255.0,1556.0,7,19.0,2,1,7.0,0,0,15.0,0,1,30.0,0,0,,0,0,11.0,0,2,742.0,0,276,431.0,155,4647,2,False,False,False
05-141-0076,Новодворский сельский Совет,minsk_suburb,53.858123,27.689419,5,,437,288,2243.0,2360.0,8,9.0,3,1,5.0,1,1,4.0,0,2,4.0,1,1,,0,2,10.0,1,1,1597.0,0,421,614.0,282,4648,7,False,False,True
05-141-0077,Hatava,minsk_suburb,53.783996,27.630903,5,,292,164,1262.0,1626.0,7,27.0,0,0,19.0,0,1,24.0,0,2,12.0,0,1,,1,1,15.0,1,6,618.0,1,274,547.0,161,4649,5,False,False,False
05-141-0078,Hatava,minsk_suburb,53.783996,27.630903,5,,388,230,1733.0,2209.0,4,88.0,3,1,34.0,0,0,9.0,0,2,24.0,0,0,,0,1,24.0,1,3,711.0,0,377,834.0,226,4650,5,False,False,False
05-141-0080,Astrašycki Haradok,village,54.066158,27.698114,5,,277,156,862.0,1334.0,4,56.0,1,1,14.0,1,0,,0,4,15.0,2,0,,0,2,17.0,2,3,280.0,1,263,480.0,149,4652,4,False,False,False
