id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout,against,cherechen,corrupted,dmitriyev,kanopatskaja,tihanovkaja,lukashenko
03-096-0029,Mazyr,town_over100,52.048559,29.255964,3,,5,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,5,,1,1367.42,1061.39,0.7762,1.49145,0.45445,0.30805,0.47885,0.3172,13.035,1045.31
03-096-0030,Mazyr,town_over100,52.02974,29.2355,3,,266,153,,,0,,0,0,,0,0,,0,1,,0,0,,0,2,,0,7,,3,256,,150,1367.42,1061.39,0.7762,92.0934,28.0612,19.0213,29.5678,19.5863,667.392,205.67
03-096-0031,Mazyr,town_over100,52.027629,29.234207,3,,420,220,2848,2998,6,59,3,3,28,2,0,,0,4,11,4,0,,0,1,40,0,3,2134,0,403,576,211,2998,2327.05,0.7762,146.954,44.7773,30.3524,47.1815,31.254,1050.62,975.91
03-096-0032,Mazyr,town_over100,52.02498,29.240261,3,,205,108,,,4,,1,0,,0,0,,0,3,,1,0,,0,0,,0,1,,0,197,,106,1367.42,1061.39,0.7762,71.348,21.74,14.7365,22.9072,15.1742,513.579,401.907
03-096-0033,Mazyr,town_over100,52.027618,29.247942,3,,202,101,,,3,,0,2,,0,0,,0,2,,0,0,,0,1,,1,3,,0,191,,100,1367.42,1061.39,0.7762,74.2776,22.6327,15.3416,23.8478,15.7973,497.937,411.558
03-096-0034,Mazyr,town_over100,52.024371,29.242893,3,,133,68,,,0,,0,1,,0,2,,1,1,,0,1,,0,0,,0,1,,0,127,,67,1367.42,1061.39,0.7762,47.3215,14.419,9.77397,15.1932,10.0643,331.089,633.531
03-096-0035,Mazyr,town_over100,52.030028,29.243864,3,,206,118,,,3,,0,1,,0,0,,0,3,,1,0,,0,1,,0,1,,1,197,,116,1367.42,1061.39,0.7762,72.9211,22.2193,15.0614,23.4123,15.5088,513.579,398.69
03-096-0036,Mazyr,town_over100,52.03317,29.239228,3,,201,122,1774,1885,3,42,1,1,39,1,0,32,0,1,35,1,1,,0,0,37,0,1,1162,0,194,427,119,1885,1463.14,0.7762,68.8801,20.988,14.2268,22.1149,14.6493,505.758,816.523
03-096-0037,Mazyr,town_over100,52.077594,29.241285,3,,19,12,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,12,1367.42,1061.39,0.7762,5.66751,1.72691,1.17059,1.81963,1.20536,49.533,1000.27
03-096-0038,Mazyr,town_over100,52.08438,29.231566,3,,141,71,1134,1621,1,65,0,1,15,0,0,,0,1,16,0,0,,0,0,15,0,4,629,0,134,394,71,1621,1134,0.699568,53.82,15,11.18,16,15,394,629
