id,town,area,latitude,longitude,region,monitoredVotes,registered,photoVoices,officialVotes,officialVoters,against_registered,against_officialVotes,against_photoVoices,cherechen_registered,cherechen_officialVotes,cherechen_photoVoices,corrupted_registered,corrupted_officialVotes,corrupted_photoVoices,dmitriyev_registered,dmitriyev_officialVotes,dmitriyev_photoVoices,ignore_registered,ignore_officialVotes,ignore_photoVoices,kanopatskaja_registered,kanopatskaja_officialVotes,kanopatskaja_photoVoices,lukashenko_registered,lukashenko_officialVotes,lukashenko_photoVoices,tihanovkaja_registered,tihanovkaja_officialVotes,tihanovkaja_photoVoices,voters,votes,turnout
01-011-0071,Brest,city,52.074351,23.752893,1,,389,230,,,6,,3,1,,1,2,,0,1,,0,0,,0,0,,0,4,,0,375,,226,1335.18,1055.33,0.7904
01-011-0072,Brest,city,52.07476,23.723986,1,,643,397,2055,2220,14,150,7,4,27,2,1,,0,6,25,1,3,,0,2,17,0,5,1434,1,608,402,386,2220,1754.69,0.7904
01-011-0073,Brest,city,52.07476,23.723986,1,,347,210,1661,1842,6,181,2,1,17,1,0,,0,0,33,0,1,,0,0,35,0,2,1324,0,337,71,207,1842,1455.92,0.7904
01-011-0074,Brest,city,52.073426,23.727103,1,,389,244,2059,2181,13,170,4,0,32,0,0,,0,2,24,0,0,,0,0,21,0,2,1545,0,372,267,240,2181,1723.86,0.7904
01-011-0075,Brest,city,52.071777,23.701411,1,,496,276,2409,2456,11,179,2,3,40,0,0,65,0,5,38,3,2,,0,1,19,1,6,1595,1,468,473,269,2456,1941.22,0.7904
01-011-0076,Brest,city,52.071777,23.701411,1,,482,303,2291,2403,5,64,2,2,36,1,0,,0,2,34,1,1,,0,0,21,0,4,1422,1,468,714,298,2403,1899.33,0.7904
01-011-0077,Brest,city,52.069756,23.69912,1,,517,298,2168,2325,7,108,2,1,40,1,1,18,0,5,33,2,1,,1,1,17,0,11,1626,0,490,332,292,2325,1837.68,0.7904
01-011-0078,Brest,city,52.067807,23.729286,1,,491,290,2482,2732,8,51,1,0,22,0,0,22,0,3,48,3,1,,0,0,20,0,5,1568,1,474,751,285,2732,2159.37,0.7904
01-011-0079,Brest,city,52.067807,23.729286,1,,421,249,2152,2420,6,107,3,0,25,0,1,11,0,1,49,1,2,,0,0,45,0,0,1342,0,411,571,245,2420,1912.77,0.7904
01-011-0080,Brest,city,52.06861,23.728522,1,,506,295,2437,2715,9,50,3,6,29,1,1,12,0,1,25,1,2,,0,2,21,0,0,1628,0,485,672,290,2715,2145.94,0.7904
01-011-0081,Brest,city,52.06861,23.728522,1,,566,375,2998,2999,12,92,7,1,48,0,2,,1,1,132,1,1,,0,1,81,0,3,2006,1,545,639,365,2999,2370.41,0.7904
01-011-0082,Brest,city,52.067375,23.727112,1,,370,217,,,5,,1,0,,0,1,,0,2,,1,1,,0,1,,0,0,,0,360,,215,1335.18,1055.33,0.7904
01-011-0083,Brest,city,52.060981,23.737191,1,,584,359,,,8,,4,0,,0,0,,0,1,,0,2,,2,0,,0,5,,0,568,,353,1335.18,1055.33,0.7904
01-011-0084,Brest,city,52.060981,23.737191,1,,339,182,,,4,,1,3,,1,1,,0,5,,1,1,,1,0,,0,0,,0,325,,178,1335.18,1055.33,0.7904
01-011-0085,Brest,city,52.062135,23.719683,1,,3,1,,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,,0,2,,1,1335.18,1055.33,0.7904
01-011-0086,Brest,city,52.062476,23.732717,1,,220,128,,,5,,2,0,,0,0,,0,2,,1,0,,0,0,,0,5,,3,208,,122,1335.18,1055.33,0.7904
01-011-0087,Brest,city,52.05665,23.737146,1,,432,271,1940,2398,3,164,2,0,34,0,1,22,1,3,43,1,0,,0,0,22,0,2,499,0,423,1155,267,2398,1940,0.809008
01-011-0088,Brest,city,52.044859,23.700037,1,,439,256,2686,2841,8,151,2,0,38,0,1,,1,2,32,1,2,,0,1,24,0,2,1795,1,423,646,251,2841,2245.53,0.7904
01-011-0089,Brest,city,52.065665,23.689445,1,,314,168,1991,2150,12,201,3,2,62,0,0,20,0,2,39,1,0,,0,0,26,0,5,1494,1,293,149,163,2150,1699.36,0.7904
01-047-0001,Baranavičy,town_over100,53.122334,25.973762,1,,148,70,,,2,,0,0,,0,0,,0,0,,0,0,,0,1,,0,3,,0,142,,70,1290.14,979.218,0.759
01-047-0002,Baranavičy,town_over100,53.129229,25.984659,1,,262,147,,,6,,1,1,,1,0,,0,1,,1,1,,0,1,,0,5,,0,247,,144,1290.14,979.218,0.759
01-047-0003,Baranavičy,town_over100,53.136279,25.989106,1,,351,187,,,3,,1,2,,1,1,,0,0,,0,1,,0,2,,0,9,,0,333,,185,1290.14,979.218,0.759
01-047-0004,Baranavičy,town_over100,53.136279,25.989106,1,,192,118,1442,1704,0,32,0,2,13,2,0,45,0,2,19,1,1,,0,0,33,0,0,1141,0,187,159,115,1704,1293.34,0.759
01-047-0005,Baranavičy,town_over100,53.148173,26.017609,1,,139,60,,,2,,2,0,,0,0,,0,1,,0,0,,0,0,,0,3,,2,133,,56,1290.14,979.218,0.759
01-047-0006,Baranavičy,town_over100,53.147055,26.00656,1,,259,139,1791,1947,7,94,3,0,33,0,0,,0,2,59,0,1,,0,1,81,0,0,1416,0,248,108,136,1947,1477.77,0.759
