,id,town,area
611,01-058-0029,Туховичи,village
612,01-059-0001,Malaryta,region-center
613,01-059-0002,Malaryta,region-center
614,01-059-0003,Malaryta,region-center
615,01-059-0004,Malaryta,region-center
616,01-059-0005,Malaryta,region-center
617,01-059-0006,Замшаны,village
618,01-059-0007,Великорита,village
619,01-059-0008,Масевичи,village
620,01-059-0009,Старое Роматово,village
621,01-059-0010,Збураж,village
622,01-059-0011,Lukava,village
623,01-059-0012,Мокраны,village
624,01-059-0013,Ляховцы,village
625,01-059-0014,Ланская,village
626,01-059-0015,Олтуш,village
627,01-059-0016,Радеж,village
628,01-059-0017,Орехово,village
629,01-059-0018,Мельники,village
630,01-059-0019,Хотислав,village
631,01-059-0020,Доропеевичи,village
632,01-059-0021,Черняны,village
633,01-060-0001,Pinsk,region-center
634,01-060-0002,Pinsk,region-center
635,01-060-0003,Pinsk,region-center
636,01-060-0004,Pinsk,region-center
637,01-060-0005,Pinsk,region-center
638,01-060-0006,Pinsk,region-center
639,01-060-0007,Pinsk,region-center
640,01-060-0008,Pinsk,region-center
641,01-060-0009,Pinsk,region-center
642,01-060-0010,Pinsk,region-center
643,01-060-0011,Pinsk,region-center
644,01-060-0012,Pinsk,region-center
645,01-060-0013,Pinsk,region-center
646,01-060-0014,Pinsk,region-center
647,01-060-0015,Pinsk,region-center
648,01-060-0016,Pinsk,region-center
649,01-060-0017,Pinsk,region-center
650,01-060-0018,Pinsk,region-center
651,01-060-0019,Pinsk,region-center
652,01-060-0020,Pinsk,region-center
653,01-060-0021,Pinsk,region-center
654,01-060-0022,Pinsk,region-center
655,01-060-0023,Pinsk,region-center
656,01-060-0024,Pinsk,region-center
657,01-060-0025,Pinsk,region-center
658,01-060-0026,Pinsk,region-center
659,01-060-0027,Pinsk,region-center
660,01-060-0028,Pinsk,region-center
661,01-060-0029,Pinsk,region-center
662,01-060-0030,Pinsk,region-center
663,01-060-0031,Pinsk,region-center
664,01-060-0032,Pinsk,region-center
665,01-060-0033,Pinsk,region-center
666,01-060-0034,Pinsk,region-center
667,01-060-0035,Pinsk,region-center
668,01-060-0036,Pinsk,region-center
669,01-060-0037,Pinsk,region-center
670,01-060-0038,Pinsk,region-center
671,01-060-0039,Pinsk,region-center
672,01-060-0040,Pinsk,region-center
673,01-060-0041,Pinsk,region-center
674,01-060-0042,Pinsk,region-center
675,01-060-0043,Pinsk,region-center
676,01-060-0044,Pinsk,region-center
677,01-060-0045,Pinsk,region-center
678,01-060-0046,Pinsk,region-center
679,01-060-0047,Pinsk,region-center
680,01-060-0048,Pinsk,region-center
681,01-060-0049,Pinsk,region-center
682,01-060-0050,Pinsk,region-center
683,01-060-0051,Pinsk,region-center
684,01-060-0052,Pinsk,region-center
685,01-060-0053,Pinsk,region-center
686,01-060-0054,Pinsk,region-center
687,01-060-0055,Pinsk,region-center
688,01-060-0056,Pinsk,region-center
689,01-060-0057,Pinsk,region-center
690,01-060-0058,Pinsk,region-center
691,01-060-0059,Pinsk,region-center
692,01-060-0060,Pinsk,region-center
693,01-060-0061,Pinsk,region-center
694,01-060-0062,Pinsk,region-center
695,01-060-0063,Pinsk,region-center
696,01-060-0064,Pinsk,region-center
697,01-060-0065,Pinsk,region-center
698,01-060-0066,Pinsk,region-center
699,01-060-0067,Pinsk,region-center
700,01-060-0068,Pinsk,region-center
701,01-061-0001,Берёзовичи,village
702,01-061-0002,Бобрик,village
703,01-061-0003,Малая Плотница,village
704,01-061-0004,Плоскинь,village
705,01-061-0005,Доброславка,village
706,01-061-0006,Боричевичи,village
707,01-061-0007,Валище,village
708,01-061-0008,Озаричи,village
709,01-061-0009,Клетная,village
710,01-061-0010,Haradzishcha,village
711,01-061-0011,Высокое,village
712,01-061-0012,Купятичи,village
713,01-061-0013,Dubaj,village
714,01-061-0014,Кончицы,village
715,01-061-0015,Камень,village
716,01-061-0016,Борки,village
717,01-061-0017,Вяз,village
718,01-061-0018,Каллауровичи,village
719,01-061-0019,Ласицк,village
720,01-061-0020,Lahišyn,village
721,01-061-0021,Ковнятин,village
722,01-061-0022,Лемешевичи,village
723,01-061-0023,Лопатино,village
724,01-061-0024,Лыще,village
725,01-061-0025,Заборовцы,village
726,01-061-0026,Пучины,village
727,01-061-0027,Мерчицы,village
728,01-061-0028,Молотковичи,village
729,01-061-0029,Житновичи,village
730,01-061-0030,Домашицы,village
731,01-061-0031,Садовый,village
732,01-061-0032,Novy Dvor,village
733,01-061-0033,Чухово,village
734,01-061-0034,Ботово,village
735,01-061-0035,Стошаны,village
736,01-061-0036,Оснежицы,village
737,01-061-0037,Заполье,village
738,01-061-0038,Заполье,village
739,01-061-0039,Охово,village
740,01-061-0040,Кошевичи,village
741,01-061-0041,Осница,village
742,01-061-0042,Березцы,village
743,01-061-0043,Пинковичи,village
744,01-061-0044,Пинковичи,village
745,01-061-0045,Плещицы,village
746,01-061-0046,Лосичи,village
747,01-061-0047,Стытычево,village
748,01-061-0048,Поречье,village
749,01-061-0049,Тобулки,village
750,01-061-0050,Сошно,village
751,01-061-0051,Дубновичи,village
752,01-061-0052,Ставок,village
753,01-061-0053,Хойно,village
754,01-061-0054,Жидче,village
755,01-061-0055,Haradzishcha,village
756,01-061-0056,Молотковичи,village
757,01-062-0001,Pruzhany,region-center
758,01-062-0002,Pruzhany,region-center
759,01-062-0003,Pruzhany,region-center
760,01-062-0004,Pruzhany,region-center
761,01-062-0005,Pruzhany,region-center
762,01-062-0006,Pruzhany,region-center
763,01-062-0007,Pruzhany,region-center
764,01-062-0008,Pruzhany,region-center
765,01-062-0009,Pruzhany,region-center
766,01-062-0010,Pruzhany,region-center
767,01-062-0011,Pruzhany,region-center
768,01-062-0012,Pruzhany,region-center
769,01-062-0013,Pruzhany,region-center
770,01-062-0014,Белоусовщина,village
771,01-062-0015,Пружанский сельский Совет,village
772,01-062-0016,Слонимцы,village
773,01-062-0017,Слобудка,village
774,01-062-0018,Шерешево,village
775,01-062-0019,Шерешево,village
776,01-062-0020,Городечно,village
777,01-062-0021,Криница,village
778,01-062-0022,Ровбицк,village
779,01-062-0023,Староволя,village
780,01-062-0024,Шени,village
781,01-062-0025,Щерчово,village
782,01-062-0026,Великое Село,village
783,01-062-0027,Клепачи,village
784,01-062-0028,Мокрое,village
785,01-062-0029,Рудники,village
786,01-062-0030,Сухополь,village
787,01-062-0031,Мурава,village
788,01-062-0032,Новые Засимовичи,village
789,01-062-0033,Ruzhany,village
790,01-062-0034,Ruzhany,village
791,01-062-0035,Зиновичи,village
792,01-062-0036,Осошники,village
793,01-062-0037,Лысково,village
