id,area,source,tihanovkaja,against,cherechen,corrupted,dmitriyev,kanopatskaja,latitude,longitude
01-047-0022,town_over100,voice,693.036,100.085,34.3213,21.2571,35.6499,30.1142,53.142103,26.073323
01-047-0023,town_over100,voice,458.298,62.527,21.4418,13.2801,22.2718,18.8134,53.142103,26.073323
01-047-0024,town_over100,voice,543.996,122.085,41.8655,25.9296,43.4861,36.7336,53.134626,26.069541
01-047-0025,town_over100,voice,804.816,105.009,36.0096,22.3027,37.4035,31.5955,53.132222,26.0684
01-047-0026,town_over100,voice,801.09,87.7902,30.105,18.6457,31.2704,26.4147,53.13306,26.077635
01-047-0027,town_over100,voice,361.422,72.2902,24.7898,15.3537,25.7494,21.751,53.130093,26.072164
01-047-0028,town_over100,voice,957.582,116.61,39.9878,24.7667,41.5357,35.0861,53.128008,26.05347
01-047-0029,town_over100,voice,298.08,53.0341,18.1865,11.2639,18.8905,15.9572,53.132935,26.040462
01-047-0030,town_over100,official,414,123,29,27,58,16,53.128635,26.05338
01-047-0031,town_over100,voice,644.598,61.491,21.0865,13.06,21.9028,18.5017,53.130915,26.022146
01-047-0032,town_over100,voice,830.898,112.122,38.449,23.8136,39.9373,33.7359,53.130866,26.026035
01-047-0033,town_over100,voice,320.436,22.7663,7.80704,4.83533,8.10925,6.85005,53.129769,26.021391
01-047-0034,town_over100,voice,663.228,121.12,41.5344,25.7245,43.1422,36.4431,53.116968,26.033779
01-047-0035,town_over100,voice,860.706,115.031,39.4466,24.4314,40.9735,34.6112,53.116968,26.033779
01-047-0036,town_over100,voice,625.968,96.3754,33.0491,20.4691,34.3284,28.9979,53.122345,26.023188
01-047-0037,town_over100,voice,584.982,103.56,35.5127,21.9949,36.8874,31.1595,53.131568,26.021885
01-047-0038,town_over100,voice,372.6,69.7581,23.9215,14.8159,24.8475,20.9892,53.132962,26.032674
01-047-0039,town_over100,voice,480.654,58.7229,20.1373,12.4721,20.9168,17.6688,53.135691,26.020529
01-047-0040,town_over100,voice,514.188,80.1107,27.4716,17.0147,28.535,24.1041,53.114109,26.02864
01-047-0041,town_over100,voice,286.902,54.306,18.6226,11.534,19.3435,16.3399,53.132563,26.006731
01-047-0042,town_over100,voice,521.64,84.3034,28.9094,17.9052,30.0284,25.3656,53.12958,26.003515
01-047-0043,town_over100,voice,868.158,139.387,47.7986,29.6043,49.6489,41.9394,53.113238,26.016801
01-047-0044,town_over100,voice,383.778,29.4207,10.089,6.24864,10.4795,8.85224,53.127311,26.016747
01-047-0045,town_over100,voice,290.628,31.1988,10.6987,6.6263,11.1129,9.38726,53.123318,26.023017
01-047-0046,town_over100,voice,503.01,67.5207,23.1542,14.3407,24.0505,20.316,53.12576,26.007961
01-047-0047,town_over100,voice,562.626,70.8185,24.2851,15.0411,25.2252,21.3082,53.118259,26.023592
01-047-0048,town_over100,voice,365.148,68.0857,23.348,14.4607,24.2518,20.486,53.124463,26.019756
01-047-0049,town_over100,voice,596.16,60.7018,20.8159,12.8924,21.6217,18.2643,53.113238,26.016801
01-047-0050,town_over100,voice,450.846,52.0333,17.8433,11.0513,18.534,15.656,53.114595,26.027194
01-047-0051,town_over100,voice,942.678,112.005,38.4087,23.7886,39.8955,33.7005,53.118151,25.997927
01-047-0052,town_over100,voice,346.518,51.3029,17.5928,10.8962,18.2738,15.4363,53.12663,25.990534
01-047-0053,town_over100,voice,309.258,16.4772,5.65037,3.49958,5.86909,4.95774,53.121167,25.98209
01-047-0054,town_over100,voice,1047.01,135.418,46.4377,28.7614,48.2353,40.7453,53.115281,25.994972
01-047-0055,town_over100,voice,1054.46,153.473,52.629,32.596,54.6663,46.1777,53.117595,25.979359
01-047-0056,town_over100,voice,1482.95,177.806,60.9733,37.7641,63.3335,53.4991,53.107471,25.97537
01-047-0057,town_over100,voice,517.914,159.078,54.551,33.7864,56.6627,47.8641,53.107471,25.97537
01-047-0058,town_over100,voice,398.682,73.0911,25.0644,15.5238,26.0347,21.992,53.10833,25.965165
01-047-0059,town_over100,voice,383.778,44.5428,15.2746,9.46042,15.8659,13.4023,53.10833,25.965165
01-047-0060,town_over100,voice,681.858,125.301,42.9682,26.6125,44.6315,37.7011,53.120232,25.959362
01-047-0061,town_over100,voice,283.176,57.2503,19.6323,12.1594,20.3923,17.2258,53.120232,25.959362
01-047-0062,town_over100,voice,883.062,70.9016,24.3136,15.0588,25.2548,21.3332,53.146267,26.071167
01-047-0063,town_over100,voice,435.942,87.754,30.0926,18.638,31.2575,26.4039,53.133049,25.958743
01-047-0067,town_over100,voice,0,3.78053,1.29642,0.802944,1.3466,1.1375,53.130185,25.995555
01-047-0068,town_over100,voice,11.178,0,0,0,0,0,53.134399,26.011501
01-047-0069,town_over100,voice,1102.9,185.767,63.7031,39.4548,66.1691,55.8944,53.111228,25.992977
01-048-0001,village,voice,174.064,58.105,18.7828,14.1884,21.7556,22.4312,53.327197,26.006111
01-048-0002,village,voice,56.672,11.426,3.69351,2.79006,4.27809,4.41095,53.261594,26.043076
01-048-0003,village,voice,40.48,0.49106,0.158738,0.11991,0.183862,0.189572,53.275504,25.922406
01-048-0004,village,voice,72.864,19.8041,6.40178,4.83588,7.41502,7.6453,53.356384,26.10895
01-048-0005,village,voice,32.384,6.52912,2.11058,1.59432,2.44462,2.52054,53.010402,26.044469
01-048-0006,village,voice,271.216,49.5678,16.0231,12.1038,18.5591,19.1355,53.084252,26.092753
01-048-0007,village,voice,32.384,12.9211,4.17681,3.15515,4.83789,4.98813,53.299109,26.22936
01-048-0008,village,voice,20.24,1.52392,0.492616,0.37212,0.570584,0.588304,53.247193,26.285765
01-048-0009,village,voice,28.336,15.9401,5.15273,3.89235,5.96827,6.15362,53.354869,26.261214
01-048-0010,village,voice,659.824,186.723,60.3594,45.5952,69.9126,72.0838,53.138338,25.876753
01-048-0011,village,voice,4.048,4.65131,1.50356,1.13579,1.74154,1.79562,53.189474,25.719045
01-048-0012,village,voice,32.384,9.0859,2.93707,2.21865,3.40193,3.50758,53.133762,25.810853
01-048-0013,village,voice,202.4,28.0231,9.05863,6.84285,10.4924,10.8182,53.201828,26.157809
01-048-0014,village,voice,97.152,4.24668,1.37276,1.03698,1.59004,1.63942,53.151381,26.130357
01-048-0015,village,voice,32.384,7.80751,2.52382,1.90649,2.92328,3.01406,53.309284,26.361574
01-048-0016,village,voice,287.408,36.2133,11.7062,8.84279,13.5589,13.98,53.213865,26.03925
01-048-0017,village,voice,52.624,2.93948,0.950204,0.71778,1.1006,1.13478,53.254946,26.180087
01-048-0018,village,voice,101.2,40.8577,13.2075,9.97689,15.2979,15.773,52.989131,25.763584
01-048-0019,village,voice,170.016,40.6698,13.1468,9.93101,15.2275,15.7004,53.039606,25.974364
01-048-0020,village,voice,8.096,10.581,3.42037,2.58374,3.96173,4.08476,53.023349,25.913
01-048-0021,village,voice,16.192,8.37812,2.70828,2.04582,3.13692,3.23434,52.970642,25.935629
01-048-0022,village,voice,36.432,4.78848,1.5479,1.16928,1.7929,1.84858,52.898438,25.850999
01-048-0023,village,voice,85.008,18.4173,5.95351,4.49726,6.89579,7.10995,53.317268,25.693263
01-048-0024,village,voice,4.048,2.09453,0.677069,0.511455,0.784231,0.808586,53.364176,25.699516
01-048-0025,village,voice,206.448,39.0664,12.6284,9.53946,14.6272,15.0814,53.138186,25.909775
01-048-0026,village,voice,36.432,8.62365,2.78765,2.10578,3.22886,3.32913,53.114763,25.903954
01-048-0027,village,voice,238.832,22.5845,7.30056,5.51481,8.45604,8.71865,53.169617,25.937302
01-048-0028,village,voice,64.768,15.615,5.04765,3.81297,5.84655,6.02812,53.226487,25.815901
01-048-0029,village,voice,16.192,0.70778,0.228794,0.17283,0.265006,0.273236,53.180285,25.837488
01-048-0030,village,voice,28.336,8.26976,2.67325,2.01936,3.09635,3.19251,52.988621,25.578809
01-048-0031,village,voice,60.72,19.9124,6.43681,4.86234,7.45559,7.68713,53.14186,25.731172
01-048-0032,village,voice,8.096,8.02423,2.59388,1.95941,3.00442,3.09773,53.243933,25.652695
01-048-0033,village,voice,20.24,2.80231,0.905863,0.684285,1.04924,1.08182,53.190936,25.667949
01-048-0034,village,voice,40.48,0.49106,0.158738,0.11991,0.183862,0.189572,53.358969,25.826313
01-049-0001,town_below100,voice,549.64,90.1505,29.5183,19.7454,34.1056,25.9282,52.534209,24.981124
01-049-0002,town_below100,voice,404.378,40.0418,13.111,8.77021,15.1485,11.5164,52.538368,24.981101
01-049-0003,town_below100,voice,537.862,110.412,36.1526,24.1831,41.7709,31.7556,52.540042,24.974557
01-049-0004,town_below100,voice,710.606,78.3895,25.6673,17.1694,29.6562,22.5456,52.546855,24.981672
01-049-0005,town_below100,voice,451.49,41.1537,13.4751,9.01375,15.5692,11.8362,52.538059,24.986981
01-049-0006,town_below100,official-corrupted-fix,300,64.038,8,13.962,13,19,52.528374,24.96888
01-049-0007,town_below100,voice,636.012,113.351,37.1148,24.8268,42.8827,32.6009,52.524698,24.961909
01-049-0008,town_below100,official,382,57,18,16,19,10,52.529212,24.986164
01-049-0009,town_below100,voice,486.824,67.5062,22.1038,14.7856,25.5388,19.4155,52.531311,24.983154
01-049-0010,town_below100,voice,836.238,77.6202,25.4154,17.0009,29.3651,22.3244,52.52181,24.968889
01-049-0011,town_below100,voice,624.234,45.2307,14.8101,9.90673,17.1116,13.0088,52.538059,24.986981
01-049-0012,town_below100,voice,376.896,57.4429,18.8087,12.5815,21.7317,16.5212,52.552583,24.962385
01-049-0013,town_below100,official,865,100,32,11,38,21,52.469115,25.17869
01-049-0014,town_below100,official,717,84,29,8,35,16,52.469576,25.170381
01-049-0015,town_below100,official-corrupted-fix,1176,142.854,44,31.146,43,25,52.475626,25.174513
01-049-0016,town_below100,voice,628.16,49.6802,16.267,10.8813,18.795,14.2886,52.474985,25.17816
01-049-0017,town_below100,voice,196.3,13.3467,4.37014,2.92327,5.04929,3.83864,52.465542,25.177878
01-049-0018,village,voice,72.864,4.4634,1.44282,1.0899,1.67118,1.72308,52.447834,25.230972
01-049-0019,village,voice,85.008,35.0364,11.3257,8.5554,13.1183,13.5257,52.48376,24.924485
01-049-0020,village,voice,157.872,21.6023,6.98308,5.27499,8.08832,8.33951,52.541077,25.029489
01-049-0021,village,voice,48.576,7.2369,2.33937,1.76715,2.70963,2.79378,52.362505,24.859744
01-049-0022,village,voice,56.672,16.5395,5.3465,4.03872,6.1927,6.38502,52.473081,25.001848
01-049-0023,village,voice,8.096,0.35389,0.114397,0.086415,0.132503,0.136618,52.445057,25.017128
01-049-0024,village,voice,242.88,45.1332,14.5896,11.0209,16.8987,17.4235,52.488329,24.704931
01-049-0025,village,voice,28.336,10.8265,3.49974,2.64369,4.05366,4.17955,52.436768,24.719058
01-049-0026,village,voice,72.864,21.0825,6.81503,5.14805,7.89367,8.13881,52.387839,25.016724
01-049-0027,village,voice,32.384,16.7562,5.41655,4.09164,6.27385,6.46869,52.55635,24.77232
01-049-0028,village,voice,360.272,22.7793,7.36353,5.56238,8.52898,8.79385,52.525711,24.894005
01-049-0029,village,voice,76.912,15.5067,5.01262,3.78651,5.80598,5.98629,52.499437,24.76004
01-049-0030,village,official,421,69,20,24,23,10,52.497524,25.190144
01-049-0031,village,voice,101.2,11.4548,3.70282,2.7971,4.28888,4.42207,52.492518,25.213437
01-049-0032,village,voice,76.912,9.11471,2.94638,2.22569,3.41272,3.5187,52.586514,24.86296
01-049-0033,village,voice,72.864,30.0312,9.70776,7.3332,11.2442,11.5934,52.422815,24.888741
01-049-0034,village,voice,85.008,23.5309,7.6065,5.74592,8.8104,9.08402,52.440342,24.848928
01-049-0035,village,voice,12.144,1.17003,0.378219,0.285705,0.438081,0.451686,52.394654,24.929453
01-049-0036,village,voice,117.392,44.1223,14.2628,10.7741,16.5202,17.0333,52.537512,25.085742
01-049-0037,village,voice,48.576,28.9695,9.36457,7.07396,10.8467,11.1836,52.610867,25.081895
01-049-0038,village,voice,72.864,13.4121,4.33555,3.27506,5.02175,5.17771,52.495687,25.038895
01-049-0039,village,voice,72.864,13.4121,4.33555,3.27506,5.02175,5.17771,52.423474,25.33506
01-049-0040,village,voice,60.72,14.7989,4.78382,3.61368,5.54098,5.71306,52.424539,25.258793
01-050-0001,town_below100,voice,463.268,90.6016,29.666,19.8442,34.2763,26.058,52.754882,26.421465
01-050-0002,town_below100,voice,490.75,79.4245,26.0063,17.3961,30.0478,22.8433,52.75704,26.429927
01-050-0003,town_below100,voice,251.264,44.5193,14.5771,9.75091,16.8425,12.8042,52.75704,26.429927
01-050-0004,town_below100,voice,384.748,57.6282,18.8694,12.6221,21.8018,16.5745,52.763296,26.426729
01-050-0005,town_below100,voice,266.968,47.3795,15.5137,10.3774,17.9246,13.6269,52.759378,26.440177
01-050-0006,village,voice,16.192,10.9349,3.53477,2.67015,4.09423,4.22138,52.723586,26.678113
01-050-0007,village,voice,44.528,7.69915,2.4888,1.88003,2.88271,2.97223,52.73692,26.457577
01-050-0008,village,voice,133.584,23.0975,7.46639,5.64008,8.64812,8.91669,52.775561,26.424043
01-050-0009,village,voice,32.384,15.4779,5.00331,3.77948,5.7952,5.97517,52.625294,26.519426
