id,town,area,latitude,longitude,region
06-133-0016,Баканово,village,54.310273,29.623321,6
06-134-0001,Mstislavl,town_below100,54.018844,31.72616,6
06-134-0002,Mstislavl,town_below100,54.022484,31.728649,6
06-134-0003,Mstislavl,town_below100,54.007639,31.738081,6
06-134-0004,Mstislavl,town_below100,54.01494,31.713224,6
06-134-0005,Mstislavl,town_below100,54.010395,31.685314,6
06-134-0006,Mstislavl,town_below100,54.011723,31.742123,6
06-134-0007,Копачи,village,54.012787,31.467922,6
06-134-0008,Лютня,village,54.050398,31.687425,6
06-134-0009,Шамовщина,village,54.046344,31.626465,6
06-134-0010,Mstislavl,town_below100,54.011623,31.747046,6
06-134-0011,Подлужье,village,53.923943,31.835737,6
06-134-0012,Селец,village,53.882874,31.785898,6
06-134-0013,Мазолово,village,55.297559,30.150901,6
06-134-0014,Мушино,village,53.916451,31.630139,6
06-134-0015,Курманово,village,54.113449,31.381872,6
06-134-0016,Подсолтово,village,54.094017,31.470688,6
06-134-0017,Андраны,village,53.978128,31.292022,6
06-134-0018,Мишни,village,54.0073,31.326009,6
06-134-0019,Рязанцы,village,54.039624,31.827706,6
06-134-0020,Сапрыновичи,village,54.031094,31.806443,6
06-134-0021,Ходосы,village,53.930109,31.482447,6
06-134-0022,Заболотье,village,53.857486,31.372817,6
06-135-0001,Asipovichy,town_below100,53.297807,28.613201,6
06-135-0002,Asipovichy,town_below100,53.297584,28.633689,6
06-135-0003,Asipovichy,town_below100,53.298436,28.643151,6
06-135-0004,Asipovichy,town_below100,53.298259,28.660309,6
06-135-0005,Asipovichy,town_below100,53.305787,28.65862,6
06-135-0006,Asipovichy,town_below100,53.311926,28.644211,6
06-135-0007,Asipovichy,town_below100,53.322023,28.644175,6
06-135-0008,Asipovichy,town_below100,53.320436,28.640941,6
06-135-0009,Asipovichy,town_below100,53.319129,28.637384,6
06-135-0010,Asipovichy,town_below100,53.317785,28.635778,6
06-135-0011,Asipovichy,town_below100,53.305696,28.6345,6
06-135-0012,Asipovichy,town_below100,53.312975,28.629452,6
06-135-0013,Asipovichy,town_below100,53.317085,28.594516,6
06-135-0014,Asipovichy,town_below100,53.294696,28.646484,6
06-135-0015,Осово,village,53.266791,28.595271,6
06-135-0016,Заболотье,village,53.299749,28.589594,6
06-135-0017,Верейцы,village,53.343441,28.516974,6
06-135-0018,Цель,village,53.395089,28.459733,6
06-135-0019,Сосновый,village,53.41771,28.472696,6
06-135-0020,Лапичи,village,53.434504,28.54775,6
06-135-0021,Жорновка,village,53.45706,28.587653,6
06-135-0022,Гродзянка,village,53.54775,28.745047,6
06-135-0023,Каменичи,village,53.536048,28.827863,6
06-135-0024,Свислочь,village,53.437277,28.971234,6
06-135-0025,Елизово,town_below100,53.39358,29.007095,6
06-135-0026,Красное,village,53.307552,29.050223,6
06-135-0027,Липень,village,53.413405,28.82409,6
06-135-0028,Вязовница,village,53.452739,28.841535,6
06-135-0029,Вязье,village,53.361275,28.681267,6
06-135-0030,Малая Горожа,village,53.337264,28.745227,6
06-135-0031,Замошье,village,53.298017,28.703689,6
06-135-0032,Ясенский сельский Совет,village,53.24853,28.932022,6
06-135-0033,Tatarka,village,53.255108,28.816023,6
06-135-0034,Корытное,village,53.168999,28.777898,6
06-135-0035,Дараганово,village,53.176134,28.491471,6
06-135-0036,Радутичи,village,53.168513,28.52063,6
06-135-0037,Краи,village,53.168464,28.467504,6
06-135-0038,Дричин,village,53.210802,28.228273,6
06-135-0039,Великий Бор,village,53.215688,28.159175,6
06-136-0001,Slawharad,town_below100,53.445376,31.000142,6
06-136-0002,Slawharad,town_below100,53.451538,31.011047,6
06-136-0003,Slawharad,town_below100,53.430657,30.984071,6
06-136-0004,Slawharad,town_below100,53.446969,31.000717,6
06-136-0005,Slawharad,town_below100,53.434058,30.992578,6
06-136-0006,Гиженка,village,53.572979,31.05131,6
06-136-0007,Берёзовка,village,53.638812,30.980469,6
