id,zubr_id,observers,accreditation-reject,let-observer-in-violation,no-let-observer-in,observer-pushed-away,force-beforehand-voting,late-report,home-voting-violation,wrong-voters-number,no-medcine-on-poll-station,non-transparent-counting,observer-limitations,other
07-003-0043,367,3,False,False,True,False,False,False,False,False,False,False,False,False
07-003-0044,368,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0045,369,10,False,False,True,False,False,True,False,False,False,False,False,False
07-003-0046,370,1,False,False,False,False,False,False,False,False,False,False,False,True
07-003-0047,371,3,False,False,True,False,False,False,False,False,False,False,False,False
07-003-0048,372,1,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0049,373,4,False,False,False,False,False,True,False,False,False,False,True,False
07-003-0050,374,3,False,False,True,False,False,False,False,False,False,False,True,False
07-003-0051,375,2,False,False,True,False,False,True,False,False,False,False,True,False
07-003-0052,376,2,False,False,True,False,False,False,False,True,False,False,False,True
07-003-0053,377,1,False,False,True,False,False,False,False,True,False,False,False,False
07-003-0054,378,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0055,379,1,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0056,380,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0057,381,4,False,False,True,False,False,True,False,True,False,True,False,False
07-003-0058,382,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0059,383,8,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0060,384,11,False,False,True,False,False,True,False,True,False,False,False,True
07-003-0061,385,3,False,False,False,False,False,True,False,False,False,False,False,False
07-003-0062,386,3,False,True,True,False,False,True,False,True,True,False,True,True
07-003-0063,387,7,False,False,False,False,False,True,False,False,False,True,True,False
07-003-0064,388,6,False,False,True,False,False,False,False,False,False,False,False,False
07-003-0065,389,6,False,False,False,False,False,True,False,False,False,False,False,False
07-003-0066,390,11,False,False,True,False,False,True,False,True,False,False,False,True
07-003-0067,391,6,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0068,392,5,False,False,True,False,False,True,False,True,False,False,False,True
07-003-0069,393,7,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0070,394,9,False,False,True,False,False,False,False,False,False,False,True,True
07-003-0071,395,6,False,False,True,False,False,False,False,True,True,False,True,True
07-003-0072,396,5,False,False,True,False,False,False,False,True,True,False,True,True
07-003-0073,397,2,False,False,False,False,False,True,False,False,False,False,False,False
07-003-0074,398,9,False,False,True,False,False,True,False,False,False,False,False,False
07-003-0075,399,3,False,False,True,False,False,True,False,True,True,False,True,True
07-003-0076,400,5,False,False,True,True,False,True,False,True,False,False,True,True
07-003-0077,401,7,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0078,402,9,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0079,403,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0080,404,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0081,405,4,False,False,True,False,False,False,False,True,False,True,False,True
07-003-0082,406,9,False,False,True,False,False,True,False,True,False,False,True,True
07-003-0083,407,7,False,False,True,False,False,False,False,True,False,False,False,False
07-003-0084,408,3,False,False,True,False,False,False,False,False,True,False,True,True
07-003-0085,409,3,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0086,410,3,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0087,411,4,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0088,412,3,False,False,True,False,False,False,False,True,False,True,False,False
07-003-0089,413,6,False,False,True,False,False,True,False,False,False,False,True,True
07-003-0090,414,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0091,415,2,False,False,False,False,False,False,False,False,False,False,False,False
07-003-0092,416,1,False,False,True,True,False,False,False,True,False,False,False,False
07-003-0093,417,12,False,False,True,False,False,False,False,False,True,False,False,True
07-003-0094,418,4,False,False,False,False,False,True,False,False,False,False,False,False
07-003-0095,419,5,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0096,420,10,False,False,True,True,False,False,False,True,True,False,True,True
07-003-0097,421,9,False,False,True,False,False,True,False,True,False,False,True,True
07-003-0098,422,9,False,False,True,False,False,False,False,True,False,False,True,True
07-003-0099,423,7,False,False,True,False,False,True,False,True,True,True,True,True
07-003-0100,424,4,False,False,True,False,False,True,False,True,False,True,True,True
07-003-0101,425,7,False,False,True,False,False,False,False,True,False,False,True,False
07-003-0102,426,3,False,False,False,False,False,False,False,True,False,False,False,False
07-003-0103,427,5,False,False,True,False,False,True,False,True,False,False,False,True
07-003-0104,428,5,False,False,True,False,False,False,False,False,False,False,False,False
07-003-0105,429,1,False,False,True,False,False,False,False,False,True,False,False,True
07-003-0106,430,2,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0001,431,3,True,True,True,False,False,False,False,True,False,False,True,False
07-004-0002,432,2,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0003,433,2,False,False,False,True,False,False,False,True,False,False,False,True
07-004-0004,434,4,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0005,435,7,False,False,False,False,False,False,False,True,False,False,False,True
07-004-0006,436,5,False,False,False,False,False,False,False,False,False,True,False,False
07-004-0007,437,2,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0008,438,3,True,False,False,True,True,False,False,False,False,False,False,False
07-004-0009,439,1,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0010,440,0,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0011,441,0,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0012,442,4,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0013,443,1,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0014,444,5,False,False,True,False,False,False,False,True,True,False,False,True
07-004-0015,445,7,False,False,True,True,False,False,False,True,True,True,True,True
07-004-0016,446,3,True,False,True,True,True,False,False,True,False,False,True,True
07-004-0017,447,4,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0018,448,4,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0019,449,3,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0020,450,5,False,False,True,False,False,False,False,True,True,False,False,True
07-004-0021,451,4,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0022,452,0,False,False,False,False,False,False,False,False,False,False,False,True
07-004-0023,453,3,False,False,True,False,False,True,False,True,True,False,True,True
07-004-0024,454,3,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0025,455,4,False,False,True,False,False,False,False,False,False,False,False,False
07-004-0026,456,3,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0027,457,4,False,False,True,False,False,False,False,False,True,False,False,False
07-004-0028,458,6,False,False,False,False,False,False,False,False,False,False,True,False
07-004-0029,459,2,False,False,False,False,False,True,False,True,False,False,False,False
07-004-0030,460,3,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0031,461,2,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0032,462,10,False,False,True,False,False,False,False,True,False,False,True,False
07-004-0033,463,7,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0034,464,7,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0035,465,5,False,False,True,False,True,True,False,True,False,False,False,False
07-004-0036,466,5,False,False,False,False,False,False,False,False,False,False,False,True
07-004-0037,467,1,False,False,False,False,False,False,False,False,False,False,False,True
07-004-0038,468,7,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0039,469,5,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0040,470,7,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0041,471,10,False,False,False,False,False,False,False,False,False,False,False,True
07-004-0042,472,8,False,False,True,True,False,False,False,True,False,True,True,False
07-004-0043,473,3,False,False,True,False,False,False,False,True,False,False,False,False
07-004-0044,474,2,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0045,475,5,False,False,True,False,False,False,False,True,False,True,True,False
07-004-0046,476,6,False,False,True,True,False,False,False,True,True,False,True,True
07-004-0047,477,9,True,False,True,True,False,False,False,True,True,False,True,True
07-004-0048,478,5,False,False,True,False,False,True,False,False,True,False,True,True
07-004-0049,479,7,False,False,False,False,False,False,False,True,False,False,False,True
07-004-0050,480,7,False,False,True,False,False,False,False,True,False,False,True,True
07-004-0051,481,5,False,False,True,False,True,False,False,True,True,False,True,True
07-004-0052,482,6,False,False,False,True,False,False,False,False,False,False,True,True
07-004-0053,483,7,False,False,True,False,False,True,False,True,False,False,True,True
07-004-0054,484,5,False,False,False,False,False,False,False,True,False,False,False,False
07-004-0055,485,2,False,False,False,False,False,False,False,False,False,False,False,False
07-004-0056,486,4,False,False,True,True,False,True,False,True,False,False,False,True
